"group","value","Data","feature"
"Control",1.542,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.651,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.066,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.291,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.522,"Lipid species","PC_18:2;0_20:2;0"
"Control",0.65,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.601,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.579,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.753,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.162,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.814,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.12,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.114,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.541,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.705,"Lipid species","PC_18:2;0_20:2;0"
"Control",0,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.733,"Lipid species","PC_18:2;0_20:2;0"
"Control",0.971,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.341,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.124,"Lipid species","PC_18:2;0_20:2;0"
"Control",0,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.015,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.659,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.086,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.168,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.062,"Lipid species","PC_18:2;0_20:2;0"
"Control",4.42,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.777,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.868,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.355,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.897,"Lipid species","PC_18:2;0_20:2;0"
"Control",0.891,"Lipid species","PC_18:2;0_20:2;0"
"Control",0,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.757,"Lipid species","PC_18:2;0_20:2;0"
"Control",0.818,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.299,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.529,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.402,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.377,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.239,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.307,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.037,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.191,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.283,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.813,"Lipid species","PC_18:2;0_20:2;0"
"Control",4.815,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.209,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.247,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.865,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.994,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.906,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.391,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.532,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.724,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.545,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.161,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.827,"Lipid species","PC_18:2;0_20:2;0"
"Control",3,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.981,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.307,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.561,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.492,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.761,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.299,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.691,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.763,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.831,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.964,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.963,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.544,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.934,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.795,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.058,"Lipid species","PC_18:2;0_20:2;0"
"Control",1.979,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.704,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.424,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.233,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.495,"Lipid species","PC_18:2;0_20:2;0"
"Control",3.226,"Lipid species","PC_18:2;0_20:2;0"
"Control",0.939,"Lipid species","PC_18:2;0_20:2;0"
"Control",4.639,"Lipid species","PC_18:2;0_20:2;0"
"Control",0.902,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.229,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.152,"Lipid species","PC_18:2;0_20:2;0"
"Control",2.073,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",3.38,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.774,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.095,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.073,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.922,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.765,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0.868,"Lipid species","PC_18:2;0_20:2;0"
"CVD",3.848,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.237,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.168,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.391,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.334,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.013,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.357,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.327,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.967,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.724,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.527,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0.728,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.764,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.147,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.368,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.054,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0.993,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0.615,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.053,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0.964,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.351,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.099,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.348,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.8,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.958,"Lipid species","PC_18:2;0_20:2;0"
"CVD",2.759,"Lipid species","PC_18:2;0_20:2;0"
"CVD",4.634,"Lipid species","PC_18:2;0_20:2;0"
"CVD",3.196,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",3.659,"Lipid species","PC_18:2;0_20:2;0"
"CVD",0,"Lipid species","PC_18:2;0_20:2;0"
"CVD",1.635,"Lipid species","PC_18:2;0_20:2;0"
