"feature","structural_category","functional_category","class","totallength","totaldb","totaloh","FA_sum","FA_split","FA_num"
"PE O-_16:0;0_22:5;0","GPL","MEM","PE O-",38,5,0,"38:5;0","16:0;0_22:5;0",2
"PE O-_16:1;0_16:0;0","GPL","MEM","PE O-",32,1,0,"32:1;0","16:1;0_16:0;0",2
"PE O-_16:1;0_16:1;0","GPL","MEM","PE O-",32,2,0,"32:2;0","16:1;0_16:1;0",2
"PE O-_16:1;0_17:1;0","GPL","MEM","PE O-",33,2,0,"33:2;0","16:1;0_17:1;0",2
"PE O-_16:1;0_18:1;0","GPL","MEM","PE O-",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PE O-_16:1;0_18:2;0","GPL","MEM","PE O-",34,3,0,"34:3;0","16:1;0_18:2;0",2
"PE O-_16:1;0_19:1;0","GPL","MEM","PE O-",35,2,0,"35:2;0","16:1;0_19:1;0",2
"PE O-_16:1;0_20:1;0","GPL","MEM","PE O-",36,2,0,"36:2;0","16:1;0_20:1;0",2
"PE O-_16:1;0_20:2;0","GPL","MEM","PE O-",36,3,0,"36:3;0","16:1;0_20:2;0",2
"PE O-_16:1;0_20:3;0","GPL","MEM","PE O-",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PE O-_16:1;0_20:4;0","GPL","MEM","PE O-",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PE O-_16:1;0_20:5;0","GPL","MEM","PE O-",36,6,0,"36:6;0","16:1;0_20:5;0",2
"PE O-_16:1;0_22:2;0","GPL","MEM","PE O-",38,3,0,"38:3;0","16:1;0_22:2;0",2
"PE O-_16:1;0_22:3;0","GPL","MEM","PE O-",38,4,0,"38:4;0","16:1;0_22:3;0",2
"PE O-_16:1;0_22:4;0","GPL","MEM","PE O-",38,5,0,"38:5;0","16:1;0_22:4;0",2
"PE O-_16:1;0_22:5;0","GPL","MEM","PE O-",38,6,0,"38:6;0","16:1;0_22:5;0",2
"PE O-_16:1;0_22:6;0","GPL","MEM","PE O-",38,7,0,"38:7;0","16:1;0_22:6;0",2
"PE O-_16:1;0_24:4;0","GPL","MEM","PE O-",40,5,0,"40:5;0","16:1;0_24:4;0",2
"PE O-_16:2;0_16:0;0","GPL","MEM","PE O-",32,2,0,"32:2;0","16:2;0_16:0;0",2
"PE O-_16:2;0_18:0;0","GPL","MEM","PE O-",34,2,0,"34:2;0","16:2;0_18:0;0",2
"PE O-_16:2;0_18:1;0","GPL","MEM","PE O-",34,3,0,"34:3;0","16:2;0_18:1;0",2
"PE O-_17:0;0_17:1;0","GPL","MEM","PE O-",34,1,0,"34:1;0","17:0;0_17:1;0",2
"PE O-_17:0;0_18:2;0","GPL","MEM","PE O-",35,2,0,"35:2;0","17:0;0_18:2;0",2
"PE O-_17:0;0_20:2;0","GPL","MEM","PE O-",37,2,0,"37:2;0","17:0;0_20:2;0",2
"PE O-_17:0;0_20:3;0","GPL","MEM","PE O-",37,3,0,"37:3;0","17:0;0_20:3;0",2
"PE O-_17:0;0_20:4;0","GPL","MEM","PE O-",37,4,0,"37:4;0","17:0;0_20:4;0",2
"PE O-_17:1;0_16:1;0","GPL","MEM","PE O-",33,2,0,"33:2;0","17:1;0_16:1;0",2
"PE O-_17:1;0_17:1;0","GPL","MEM","PE O-",34,2,0,"34:2;0","17:1;0_17:1;0",2
"PE O-_17:1;0_18:1;0","GPL","MEM","PE O-",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PE O-_17:1;0_18:2;0","GPL","MEM","PE O-",35,3,0,"35:3;0","17:1;0_18:2;0",2
"PE O-_17:1;0_20:1;0","GPL","MEM","PE O-",37,2,0,"37:2;0","17:1;0_20:1;0",2
"PE O-_17:1;0_20:2;0","GPL","MEM","PE O-",37,3,0,"37:3;0","17:1;0_20:2;0",2
"PE O-_17:1;0_20:3;0","GPL","MEM","PE O-",37,4,0,"37:4;0","17:1;0_20:3;0",2
"PE O-_17:1;0_20:4;0","GPL","MEM","PE O-",37,5,0,"37:5;0","17:1;0_20:4;0",2
"PE O-_17:2;0_16:0;0","GPL","MEM","PE O-",33,2,0,"33:2;0","17:2;0_16:0;0",2
"PE O-_17:2;0_18:0;0","GPL","MEM","PE O-",35,2,0,"35:2;0","17:2;0_18:0;0",2
"PE O-_17:2;0_18:1;0","GPL","MEM","PE O-",35,3,0,"35:3;0","17:2;0_18:1;0",2
"PE O-_18:0;0_16:1;0","GPL","MEM","PE O-",34,1,0,"34:1;0","18:0;0_16:1;0",2
"PE O-_18:0;0_18:1;0","GPL","MEM","PE O-",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PE O-_18:0;0_18:2;0","GPL","MEM","PE O-",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PE O-_18:0;0_20:1;0","GPL","MEM","PE O-",38,1,0,"38:1;0","18:0;0_20:1;0",2
"PE O-_18:0;0_20:2;0","GPL","MEM","PE O-",38,2,0,"38:2;0","18:0;0_20:2;0",2
"PE O-_18:0;0_20:3;0","GPL","MEM","PE O-",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PE O-_18:0;0_20:4;0","GPL","MEM","PE O-",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PE O-_18:0;0_20:5;0","GPL","MEM","PE O-",38,5,0,"38:5;0","18:0;0_20:5;0",2
"PE O-_18:0;0_22:4;0","GPL","MEM","PE O-",40,4,0,"40:4;0","18:0;0_22:4;0",2
"PE O-_18:0;0_22:5;0","GPL","MEM","PE O-",40,5,0,"40:5;0","18:0;0_22:5;0",2
"PE O-_18:1;0_14:0;0","GPL","MEM","PE O-",32,1,0,"32:1;0","18:1;0_14:0;0",2
"PE O-_18:1;0_16:0;0","GPL","MEM","PE O-",34,1,0,"34:1;0","18:1;0_16:0;0",2
"PE O-_18:1;0_16:1;0","GPL","MEM","PE O-",34,2,0,"34:2;0","18:1;0_16:1;0",2
"PE O-_18:1;0_17:1;0","GPL","MEM","PE O-",35,2,0,"35:2;0","18:1;0_17:1;0",2
"PE O-_18:1;0_18:0;0","GPL","MEM","PE O-",36,1,0,"36:1;0","18:1;0_18:0;0",2
"PE O-_18:1;0_18:1;0","GPL","MEM","PE O-",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PE O-_18:1;0_18:2;0","GPL","MEM","PE O-",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PE O-_18:1;0_18:3;0","GPL","MEM","PE O-",36,4,0,"36:4;0","18:1;0_18:3;0",2
"PE O-_18:1;0_19:1;0","GPL","MEM","PE O-",37,2,0,"37:2;0","18:1;0_19:1;0",2
"PE O-_18:1;0_20:1;0","GPL","MEM","PE O-",38,2,0,"38:2;0","18:1;0_20:1;0",2
"PE O-_18:1;0_20:2;0","GPL","MEM","PE O-",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PE O-_18:1;0_20:3;0","GPL","MEM","PE O-",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PE O-_18:1;0_20:4;0","GPL","MEM","PE O-",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PE O-_18:1;0_20:5;0","GPL","MEM","PE O-",38,6,0,"38:6;0","18:1;0_20:5;0",2
"PE O-_18:1;0_22:1;0","GPL","MEM","PE O-",40,2,0,"40:2;0","18:1;0_22:1;0",2
"PE O-_18:1;0_22:2;0","GPL","MEM","PE O-",40,3,0,"40:3;0","18:1;0_22:2;0",2
"PE O-_18:1;0_22:3;0","GPL","MEM","PE O-",40,4,0,"40:4;0","18:1;0_22:3;0",2
"PE O-_18:1;0_22:4;0","GPL","MEM","PE O-",40,5,0,"40:5;0","18:1;0_22:4;0",2
"PE O-_18:1;0_22:5;0","GPL","MEM","PE O-",40,6,0,"40:6;0","18:1;0_22:5;0",2
"PE O-_18:1;0_22:6;0","GPL","MEM","PE O-",40,7,0,"40:7;0","18:1;0_22:6;0",2
"PE O-_18:1;0_24:6;0","GPL","MEM","PE O-",42,7,0,"42:7;0","18:1;0_24:6;0",2
"PE O-_18:2;0_14:0;0","GPL","MEM","PE O-",32,2,0,"32:2;0","18:2;0_14:0;0",2
"PE O-_18:2;0_16:0;0","GPL","MEM","PE O-",34,2,0,"34:2;0","18:2;0_16:0;0",2
"PE O-_18:2;0_16:1;0","GPL","MEM","PE O-",34,3,0,"34:3;0","18:2;0_16:1;0",2
"PE O-_18:2;0_17:0;0","GPL","MEM","PE O-",35,2,0,"35:2;0","18:2;0_17:0;0",2
"PE O-_18:2;0_17:1;0","GPL","MEM","PE O-",35,3,0,"35:3;0","18:2;0_17:1;0",2
"PE O-_18:2;0_18:0;0","GPL","MEM","PE O-",36,2,0,"36:2;0","18:2;0_18:0;0",2
"PE O-_18:2;0_18:1;0","GPL","MEM","PE O-",36,3,0,"36:3;0","18:2;0_18:1;0",2
"PE O-_18:2;0_18:2;0","GPL","MEM","PE O-",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PE O-_18:2;0_20:1;0","GPL","MEM","PE O-",38,3,0,"38:3;0","18:2;0_20:1;0",2
"PE O-_18:2;0_20:2;0","GPL","MEM","PE O-",38,4,0,"38:4;0","18:2;0_20:2;0",2
"PE O-_18:2;0_20:3;0","GPL","MEM","PE O-",38,5,0,"38:5;0","18:2;0_20:3;0",2
"PE O-_18:2;0_20:4;0","GPL","MEM","PE O-",38,6,0,"38:6;0","18:2;0_20:4;0",2
"PE O-_18:2;0_22:4;0","GPL","MEM","PE O-",40,6,0,"40:6;0","18:2;0_22:4;0",2
"PE O-_18:2;0_22:5;0","GPL","MEM","PE O-",40,7,0,"40:7;0","18:2;0_22:5;0",2
"PE_14:0;0_18:0;0","GPL","MEM","PE",32,0,0,"32:0;0","14:0;0_18:0;0",2
"PE_14:0;0_18:1;0","GPL","MEM","PE",32,1,0,"32:1;0","14:0;0_18:1;0",2
"PE_16:0;0_16:0;0","GPL","MEM","PE",32,0,0,"32:0;0","16:0;0_16:0;0",2
"PE_16:0;0_16:1;0","GPL","MEM","PE",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PE_16:0;0_17:0;0","GPL","MEM","PE",33,0,0,"33:0;0","16:0;0_17:0;0",2
"PE_16:0;0_18:1;0","GPL","MEM","PE",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PE_16:0;0_18:2;0","GPL","MEM","PE",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PE_16:0;0_20:1;0","GPL","MEM","PE",36,1,0,"36:1;0","16:0;0_20:1;0",2
"PE_16:0;0_20:2;0","GPL","MEM","PE",36,2,0,"36:2;0","16:0;0_20:2;0",2
"PE_16:0;0_20:3;0","GPL","MEM","PE",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PE_16:0;0_20:4;0","GPL","MEM","PE",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PE_16:0;0_22:4;0","GPL","MEM","PE",38,4,0,"38:4;0","16:0;0_22:4;0",2
"PE_16:0;0_22:5;0","GPL","MEM","PE",38,5,0,"38:5;0","16:0;0_22:5;0",2
"PE_16:1;0_16:1;0","GPL","MEM","PE",32,2,0,"32:2;0","16:1;0_16:1;0",2
"PE_16:1;0_17:1;0","GPL","MEM","PE",33,2,0,"33:2;0","16:1;0_17:1;0",2
"PE_16:1;0_18:0;0","GPL","MEM","PE",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PE_16:1;0_18:1;0","GPL","MEM","PE",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PE_16:1;0_20:1;0","GPL","MEM","PE",36,2,0,"36:2;0","16:1;0_20:1;0",2
"PE_16:1;0_20:3;0","GPL","MEM","PE",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PE_16:1;0_20:4;0","GPL","MEM","PE",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PE_16:1;0_22:4;0","GPL","MEM","PE",38,5,0,"38:5;0","16:1;0_22:4;0",2
"PE_16:1;0_22:5;0","GPL","MEM","PE",38,6,0,"38:6;0","16:1;0_22:5;0",2
"PE_17:0;0_18:1;0","GPL","MEM","PE",35,1,0,"35:1;0","17:0;0_18:1;0",2
"PE_17:0;0_20:2;0","GPL","MEM","PE",37,2,0,"37:2;0","17:0;0_20:2;0",2
"PE_17:0;0_20:3;0","GPL","MEM","PE",37,3,0,"37:3;0","17:0;0_20:3;0",2
"PE_17:0;0_20:4;0","GPL","MEM","PE",37,4,0,"37:4;0","17:0;0_20:4;0",2
"PE_17:0;0_22:4;0","GPL","MEM","PE",39,4,0,"39:4;0","17:0;0_22:4;0",2
"PE_17:1;0_17:1;0","GPL","MEM","PE",34,2,0,"34:2;0","17:1;0_17:1;0",2
"PE_17:1;0_18:0;0","GPL","MEM","PE",35,1,0,"35:1;0","17:1;0_18:0;0",2
"PE_17:1;0_18:1;0","GPL","MEM","PE",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PE_18:0;0_18:1;0","GPL","MEM","PE",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PE_18:0;0_18:2;0","GPL","MEM","PE",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PE_18:0;0_20:2;0","GPL","MEM","PE",38,2,0,"38:2;0","18:0;0_20:2;0",2
"PE_18:0;0_20:3;0","GPL","MEM","PE",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PE_18:0;0_20:4;0","GPL","MEM","PE",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PE_18:0;0_20:5;0","GPL","MEM","PE",38,5,0,"38:5;0","18:0;0_20:5;0",2
"PE_18:0;0_22:4;0","GPL","MEM","PE",40,4,0,"40:4;0","18:0;0_22:4;0",2
"PE_18:0;0_22:5;0","GPL","MEM","PE",40,5,0,"40:5;0","18:0;0_22:5;0",2
"PE_18:0;0_22:6;0","GPL","MEM","PE",40,6,0,"40:6;0","18:0;0_22:6;0",2
"PE_18:1;0_18:1;0","GPL","MEM","PE",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PE_18:1;0_18:2;0","GPL","MEM","PE",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PE_18:1;0_19:1;0","GPL","MEM","PE",37,2,0,"37:2;0","18:1;0_19:1;0",2
"PE_18:1;0_20:1;0","GPL","MEM","PE",38,2,0,"38:2;0","18:1;0_20:1;0",2
"PE_18:1;0_20:2;0","GPL","MEM","PE",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PE_18:1;0_20:3;0","GPL","MEM","PE",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PE_18:1;0_20:4;0","GPL","MEM","PE",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PE_18:1;0_22:4;0","GPL","MEM","PE",40,5,0,"40:5;0","18:1;0_22:4;0",2
"PE_18:1;0_22:5;0","GPL","MEM","PE",40,6,0,"40:6;0","18:1;0_22:5;0",2
"PE_18:1;0_22:6;0","GPL","MEM","PE",40,7,0,"40:7;0","18:1;0_22:6;0",2
"PE_18:1;0_24:0;0","GPL","MEM","PE",42,1,0,"42:1;0","18:1;0_24:0;0",2
"PE_18:2;0_18:2;0","GPL","MEM","PE",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PE_18:2;0_20:3;0","GPL","MEM","PE",38,5,0,"38:5;0","18:2;0_20:3;0",2
"PE_20:1;0_20:4;0","GPL","MEM","PE",40,5,0,"40:5;0","20:1;0_20:4;0",2
"PG_14:0;0_18:1;0","GPL","MEM","PG",32,1,0,"32:1;0","14:0;0_18:1;0",2
"PG_16:0;0_16:1;0","GPL","MEM","PG",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PG_16:0;0_18:1;0","GPL","MEM","PG",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PG_16:0;0_18:2;0","GPL","MEM","PG",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PG_16:1;0_18:0;0","GPL","MEM","PG",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PG_16:1;0_18:1;0","GPL","MEM","PG",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PG_18:0;0_18:1;0","GPL","MEM","PG",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PG_18:1;0_18:1;0","GPL","MEM","PG",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PG_18:1;0_18:2;0","GPL","MEM","PG",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PG_18:1;0_20:2;0","GPL","MEM","PG",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PG_22:6;0_22:6;0","GPL","MEM","PG",44,12,0,"44:12;0","22:6;0_22:6;0",2
"PI_14:0;0_18:1;0","GPL","MEM","PI",32,1,0,"32:1;0","14:0;0_18:1;0",2
"PI_14:1;0_18:0;0","GPL","MEM","PI",32,1,0,"32:1;0","14:1;0_18:0;0",2
"PI_16:0;0_16:1;0","GPL","MEM","PI",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PI_16:0;0_18:0;0","GPL","MEM","PI",34,0,0,"34:0;0","16:0;0_18:0;0",2
"PI_16:0;0_18:1;0","GPL","MEM","PI",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PI_16:0;0_18:2;0","GPL","MEM","PI",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PI_16:0;0_20:1;0","GPL","MEM","PI",36,1,0,"36:1;0","16:0;0_20:1;0",2
"PI_16:0;0_20:2;0","GPL","MEM","PI",36,2,0,"36:2;0","16:0;0_20:2;0",2
"PI_16:0;0_20:3;0","GPL","MEM","PI",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PI_16:0;0_20:4;0","GPL","MEM","PI",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PI_16:1;0_18:0;0","GPL","MEM","PI",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PI_16:1;0_18:1;0","GPL","MEM","PI",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PI_17:0;0_17:0;0","GPL","MEM","PI",34,0,0,"34:0;0","17:0;0_17:0;0",2
"PI_17:0;0_18:1;0","GPL","MEM","PI",35,1,0,"35:1;0","17:0;0_18:1;0",2
"PI_17:0;0_18:2;0","GPL","MEM","PI",35,2,0,"35:2;0","17:0;0_18:2;0",2
"PI_17:0;0_20:3;0","GPL","MEM","PI",37,3,0,"37:3;0","17:0;0_20:3;0",2
"PI_17:0;0_20:4;0","GPL","MEM","PI",37,4,0,"37:4;0","17:0;0_20:4;0",2
"PI_17:1;0_18:0;0","GPL","MEM","PI",35,1,0,"35:1;0","17:1;0_18:0;0",2
"PI_17:1;0_18:1;0","GPL","MEM","PI",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PI_18:0;0_18:1;0","GPL","MEM","PI",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PI_18:0;0_18:2;0","GPL","MEM","PI",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PI_18:0;0_19:2;0","GPL","MEM","PI",37,2,0,"37:2;0","18:0;0_19:2;0",2
"PI_18:0;0_19:3;0","GPL","MEM","PI",37,3,0,"37:3;0","18:0;0_19:3;0",2
"PI_18:0;0_20:2;0","GPL","MEM","PI",38,2,0,"38:2;0","18:0;0_20:2;0",2
"PI_18:0;0_20:3;0","GPL","MEM","PI",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PI_18:0;0_20:4;0","GPL","MEM","PI",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PI_18:0;0_20:5;0","GPL","MEM","PI",38,5,0,"38:5;0","18:0;0_20:5;0",2
"PI_18:0;0_22:4;0","GPL","MEM","PI",40,4,0,"40:4;0","18:0;0_22:4;0",2
"PI_18:0;0_22:5;0","GPL","MEM","PI",40,5,0,"40:5;0","18:0;0_22:5;0",2
"PI_18:0;0_22:6;0","GPL","MEM","PI",40,6,0,"40:6;0","18:0;0_22:6;0",2
"PI_18:1;0_18:1;0","GPL","MEM","PI",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PI_18:1;0_18:2;0","GPL","MEM","PI",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PI_18:1;0_19:1;0","GPL","MEM","PI",37,2,0,"37:2;0","18:1;0_19:1;0",2
"PI_18:1;0_20:1;0","GPL","MEM","PI",38,2,0,"38:2;0","18:1;0_20:1;0",2
"PI_18:1;0_20:2;0","GPL","MEM","PI",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PI_18:1;0_20:3;0","GPL","MEM","PI",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PI_18:1;0_20:4;0","GPL","MEM","PI",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PI_18:1;0_22:5;0","GPL","MEM","PI",40,6,0,"40:6;0","18:1;0_22:5;0",2
"PI_18:1;0_22:6;0","GPL","MEM","PI",40,7,0,"40:7;0","18:1;0_22:6;0",2
"PI_18:2;0_18:2;0","GPL","MEM","PI",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PI_20:1;0_20:4;0","GPL","MEM","PI",40,5,0,"40:5;0","20:1;0_20:4;0",2
"PS_14:0;0_18:1;0","GPL","MEM","PS",32,1,0,"32:1;0","14:0;0_18:1;0",2
"PS_16:0;0_16:1;0","GPL","MEM","PS",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PS_16:0;0_18:0;0","GPL","MEM","PS",34,0,0,"34:0;0","16:0;0_18:0;0",2
"PS_16:0;0_18:1;0","GPL","MEM","PS",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PS_16:0;0_18:2;0","GPL","MEM","PS",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PS_16:0;0_20:2;0","GPL","MEM","PS",36,2,0,"36:2;0","16:0;0_20:2;0",2
"PS_16:0;0_20:3;0","GPL","MEM","PS",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PS_16:1;0_17:0;0","GPL","MEM","PS",33,1,0,"33:1;0","16:1;0_17:0;0",2
"PS_16:1;0_18:0;0","GPL","MEM","PS",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PS_16:1;0_18:1;0","GPL","MEM","PS",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PS_17:0;0_18:1;0","GPL","MEM","PS",35,1,0,"35:1;0","17:0;0_18:1;0",2
"PS_17:0;0_18:2;0","GPL","MEM","PS",35,2,0,"35:2;0","17:0;0_18:2;0",2
"PS_17:1;0_17:1;0","GPL","MEM","PS",34,2,0,"34:2;0","17:1;0_17:1;0",2
"PS_17:1;0_18:0;0","GPL","MEM","PS",35,1,0,"35:1;0","17:1;0_18:0;0",2
"PS_17:1;0_18:1;0","GPL","MEM","PS",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PS_18:0;0_18:1;0","GPL","MEM","PS",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PS_18:0;0_18:2;0","GPL","MEM","PS",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PS_18:0;0_20:1;0","GPL","MEM","PS",38,1,0,"38:1;0","18:0;0_20:1;0",2
"PS_18:0;0_20:2;0","GPL","MEM","PS",38,2,0,"38:2;0","18:0;0_20:2;0",2
"PS_18:0;0_20:3;0","GPL","MEM","PS",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PS_18:0;0_22:4;0","GPL","MEM","PS",40,4,0,"40:4;0","18:0;0_22:4;0",2
"PS_18:0;0_22:5;0","GPL","MEM","PS",40,5,0,"40:5;0","18:0;0_22:5;0",2
"PS_18:0;0_22:6;0","GPL","MEM","PS",40,6,0,"40:6;0","18:0;0_22:6;0",2
"PS_18:1;0_18:1;0","GPL","MEM","PS",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PS_18:1;0_18:2;0","GPL","MEM","PS",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PS_18:1;0_19:1;0","GPL","MEM","PS",37,2,0,"37:2;0","18:1;0_19:1;0",2
"PS_18:1;0_20:0;0","GPL","MEM","PS",38,1,0,"38:1;0","18:1;0_20:0;0",2
"PS_18:1;0_20:1;0","GPL","MEM","PS",38,2,0,"38:2;0","18:1;0_20:1;0",2
"PS_18:1;0_20:2;0","GPL","MEM","PS",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PS_18:1;0_22:0;0","GPL","MEM","PS",40,1,0,"40:1;0","18:1;0_22:0;0",2
"PS_18:1;0_22:1;0","GPL","MEM","PS",40,2,0,"40:2;0","18:1;0_22:1;0",2
"PS_18:1;0_24:0;0","GPL","MEM","PS",42,1,0,"42:1;0","18:1;0_24:0;0",2
"PS_18:1;0_24:1;0","GPL","MEM","PS",42,2,0,"42:2;0","18:1;0_24:1;0",2
