S1,P1,S1_detail,P1_detail,pathway
2:0;0,4:0;0,2:0;0,4:0;0,Non_essential_FA_synthesis
4:0;0,6:0;0,4:0;0,6:0;0,Non_essential_FA_synthesis
6:0;0,8:0;0,6:0;0,8:0;0,Non_essential_FA_synthesis
8:0;0,10:0;0,8:0;0,10:0;0,Non_essential_FA_synthesis
10:0;0,12:0;0,10:0;0,12:0;0,Non_essential_FA_synthesis
12:0;0,14:0;0,12:0;0,14:0;0,Non_essential_FA_synthesis
14:0;0,16:0;0,14:0;0,16:0;0,Non_essential_FA_synthesis
16:0;0,18:0;0,16:0;0,18:0;0,Non_essential_FA_synthesis
18:0;0,20:0;0,18:0;0,20:0;0,Non_essential_FA_synthesis
20:0;0,22:0;0,20:0;0,22:0;0,Non_essential_FA_synthesis
22:0;0,24:0;0,22:0;0,24:0;0,Non_essential_FA_synthesis
24:0;0,26:0;0,24:0;0,26:0;0,Non_essential_FA_synthesis
26:0;0,28:0;0,26:0;0,28:0;0,Non_essential_FA_synthesis
16:0;0,w7-16:1;0,16:0;0,16:1;0_d9,Non_essential_FA_synthesis
w7-16:1;0,w7-18:1;0,16:1;0_d9,18:1;0_d11,Non_essential_FA_synthesis
16:0;0,w10-16:1;0,16:0;0,16:1;0_d6,Non_essential_FA_synthesis
18:0;0,w9-18:1;0,18:0;0,18:1;0_d9,Non_essential_FA_synthesis
w9-18:1;0,w9-18:2;0,18:1;0_d9,18:2;0_d6_d9,Non_essential_FA_synthesis
w9-18:1;0,w9-20:1;0,18:1;0_d9,20:1;0_d11,Non_essential_FA_synthesis
w9-20:1;0,w9-20:2;0,20:1;0_d11,20:2;0_d8_d11,Non_essential_FA_synthesis
w9-18:2;0,w9-20:2;0,18:2;0_d6_d9,20:2;0_d8_d11,Non_essential_FA_synthesis
w9-20:2;0,w9-20:3;0,20:2;0_d8_d11,20:3;0_d5_d8_d11,Non_essential_FA_synthesis
w9-20:1;0,w9-22:1;0,20:1;0_d11,22:1;0_d13,Non_essential_FA_synthesis
w9-22:1;0,w9-24:1;0,22:1;0_d13,24:1;0_d15,Non_essential_FA_synthesis
w9-24:1;0,w9-26:1;0,24:1;0_d15,26:1;0_d17,Non_essential_FA_synthesis
w6-18:2;0,w6-18:3;0,18:2;0_d9_d12,18:3;0_d6_d9_d12,Omega_6_FA_synthesis
w6-18:3;0,w6-20:3;0,18:3;0_d6_d9_d12,20:3;0_d8_d11_d14,Omega_6_FA_synthesis
w6-20:3;0,w6-20:4;0,20:3;0_d8_d11_d14,20:4;0_d5_d8_d11_d14,Omega_6_FA_synthesis
w6-20:4;0,w6-22:4;0,20:4;0_d5_d8_d11_d14,22:4;0_d7_d10_d13_d16,Omega_6_FA_synthesis
w6-22:4;0,w6-24:4;0,22:4;0_d7_d10_d13_d16,24:4;0_d9_d12_d15_d18,Omega_6_FA_synthesis
w6-24:4;0,w6-26:4;0,24:4;0_d9_d12_d15_d18,26:4;0_d11_d14_d17_d20,Omega_6_FA_synthesis
w6-26:4;0,w6-28:4;0,26:4;0_d11_d14_d17_d20,28:4;0_d13_d16_d19_d22,Omega_6_FA_synthesis
w6-24:4;0,w6-24:5;0,24:4;0_d9_d12_d15_d18,24:5;0_d6_d9_d12_d15_d18,Omega_6_FA_synthesis
w6-24:5;0,w6-22:5;0,24:5;0_d6_d9_d12_d15_d18,22:5;0_d4_d7_d10_d13_d16,Omega_6_FA_synthesis
w6-24:5;0,w6-26:5;0,24:5;0_d6_d9_d12_d15_d18,26:5;0_d8_d11_d14_d17_d20,Omega_6_FA_synthesis
w6-22:5;0,w6-24:5;0,22:5;0_d4_d7_d10_d13_d16,24:5;0_d6_d9_d12_d15_d18,Omega_6_FA_synthesis
w6-22:4;0,w6-22:5;0,22:4;0_d7_d10_d13_d16,22:5;0_d4_d7_d10_d13_d16,Omega_6_FA_synthesis
w6-26:5;0,w6-28:5;0,26:5;0_d8_d11_d14_d17_d20,28:5;0_d10_d13_d16_d19_d22,Omega_6_FA_synthesis
w3-18:3;0,w3-18:4;0,18:3;0_d9_d12_d15,18:4;0_d6_d9_d12_d15,Omega_3_FA_synthesis
w3-18:4;0,w3-20:4;0,18:4;0_d6_d9_d12_d15,20:4;0_d8_d11_d14_d17,Omega_3_FA_synthesis
w3-20:4;0,w3-20:5;0,20:4;0_d8_d11_d14_d17,20:5;0_d5_d8_d11_d14_d17,Omega_3_FA_synthesis
w3-20:5;0,w3-22:5;0,20:5;0_d5_d8_d11_d14_d17,22:5;0_d7_d10_d13_d16_d19,Omega_3_FA_synthesis
w3-22:5;0,w3-24:5;0,22:5;0_d7_d10_d13_d16_d19,24:5;0_d9_d12_d15_d18_d21,Omega_3_FA_synthesis
w3-24:5;0,w3-26:5;0,24:5;0_d9_d12_d15_d18_d21,26:5;0_d11_d14_d17_d20_d23,Omega_3_FA_synthesis
w3-26:5;0,w3-28:5;0,26:5;0_d11_d14_d17_d20_d23,28:5;0_d13_d16_d19_d22_d25,Omega_3_FA_synthesis
w3-24:5;0,w3-24:6;0,24:5;0_d9_d12_d15_d18_d21,24:6;0_d6_d9_d12_d15_d18_d21,Omega_3_FA_synthesis
w3-24:6;0,w3-22:6;0,24:6;0_d6_d9_d12_d15_d18_d21,22:6;0_d4_d7_d10_d13_d16_d19,Omega_3_FA_synthesis
w3-24:6;0,w3-26:6;0,24:6;0_d6_d9_d12_d15_d18_d21,26:6;0_d8_d11_d14_d17_d20_d23,Omega_3_FA_synthesis
w3-26:6;0,w3-28:6;0,26:6;0_d8_d11_d14_d17_d20_d23,28:6;0_d10_d13_d16_d19_d22_d25,Omega_3_FA_synthesis
w3-22:6;0,w3-24:6;0,22:6;0_d4_d7_d10_d13_d16_d19,24:6;0_d6_d9_d12_d15_d18_d21,Omega_3_FA_synthesis
w3-22:5;0,w3-22:6;0,22:5;0_d7_d10_d13_d16_d19,22:6;0_d4_d7_d10_d13_d16_d19,Omega_3_FA_synthesis